dataset,classifier,metric,author,value_name,value
Mushroom,tree,f1,renato-augusto-v2,v18,1.0
Mushroom,tree,acc,renato-augusto-v2,v18,1.0
Mushroom,knn,f1,renato-augusto-v2,v18,1.0
Mushroom,knn,acc,renato-augusto-v2,v18,1.0
car.csv,perceptron,f1,romulo-jordao,v18,0.696952635
car.csv,perceptron,acc,romulo-jordao,v18,0.8811594203
car.csv,svm,f1,romulo-jordao,v18,0.8990178831
car.csv,svm,acc,romulo-jordao,v18,0.968115942
car.csv,bayes,f1,romulo-jordao,v18,0.7036815088
car.csv,bayes,acc,romulo-jordao,v18,0.7971014493
car.csv,knn,f1,romulo-jordao,v18,0.5083931829
car.csv,knn,acc,romulo-jordao,v18,0.8434782609
car.csv,tree,f1,romulo-jordao,v18,0.8681566312
car.csv,tree,acc,romulo-jordao,v18,0.9652173913
mushroom,perceptron,acc,thalles--barros,v18,0.8522167488
mushroom,perceptron,f1,thalles--barros,v18,0.8464774419
mushroom,svm,acc,thalles--barros,v18,0.9993842365
mushroom,svm,f1,thalles--barros,v18,0.9993147931
mushroom,bayes,acc,thalles--barros,v18,0.8713054187
mushroom,bayes,f1,thalles--barros,v18,0.8572859969
mushroom,tree,acc,thalles--barros,v18,1.0
mushroom,tree,f1,thalles--barros,v18,1.0
mushroom,knn,acc,thalles--barros,v18,0.9993842365
mushroom,knn,f1,thalles--barros,v18,0.9993147931
dataset_name,classifier_name,metric,vitor--garcia,v18,
agaricus-lepiota,perceptron,f1,vitor--garcia,v18,0.9079007713
agaricus-lepiota,perceptron,acc,vitor--garcia,v18,0.9166666667
agaricus-lepiota,svm,f1,vitor--garcia,v18,1.0
agaricus-lepiota,svm,acc,vitor--garcia,v18,1.0
agaricus-lepiota,bayes,f1,vitor--garcia,v18,0.5871385361
agaricus-lepiota,bayes,acc,vitor--garcia,v18,0.7012411348
agaricus-lepiota,tree,f1,vitor--garcia,v18,1.0
agaricus-lepiota,tree,acc,vitor--garcia,v18,1.0
agaricus-lepiota,knn,f1,vitor--garcia,v18,1.0
agaricus-lepiota,knn,acc,vitor--garcia,v18,1.0
Car Evaluation,perceptron,acc,vitor-oliveira,v18,0.7687861272
Car Evaluation,perceptron,f1,vitor-oliveira,v18,0.375
Car Evaluation,svm,acc,vitor-oliveira,v18,0.8728323699
Car Evaluation,svm,f1,vitor-oliveira,v18,0.7924528302
Car Evaluation,bayes,acc,vitor-oliveira,v18,0.8179190751
Car Evaluation,bayes,f1,vitor-oliveira,v18,0.7435897436
Car Evaluation,tree,acc,vitor-oliveira,v18,0.9682080925
Car Evaluation,tree,f1,vitor-oliveira,v18,0.9759036145
Car Evaluation,knn,acc,vitor-oliveira,v18,0.9132947977
Car Evaluation,knn,f1,vitor-oliveira,v18,0.858974359
bank,perceptron,f1,ana--beatriz,v19,0.5273202614
bank,perceptron,acc,ana--beatriz,v19,0.8938053097
bank,svm,f1,ana--beatriz,v19,0.4707259953
bank,svm,acc,ana--beatriz,v19,0.889380531
bank,bayes,f1,ana--beatriz,v19,0.6083220928
bank,bayes,acc,ana--beatriz,v19,0.8241150442
bank,tree,f1,ana--beatriz,v19,0.6851651788
bank,tree,acc,ana--beatriz,v19,0.8915929204
bank,knn,f1,ana--beatriz,v19,0.4972109876
bank,knn,acc,ana--beatriz,v19,0.8860619469
glass_identification,perceptron,f1,andrey--jodar,v19,0.3762626263
glass_identification,perceptron,acc,andrey--jodar,v19,0.5
glass_identification,svm,f1,andrey--jodar,v19,0.2601794341
glass_identification,svm,acc,andrey--jodar,v19,0.5
glass_identification,bayes,f1,andrey--jodar,v19,0.4774374332
glass_identification,bayes,acc,andrey--jodar,v19,0.4761904762
glass_identification,tree,f1,andrey--jodar,v19,0.5510429385
glass_identification,tree,acc,andrey--jodar,v19,0.6904761905
glass_identification,knn,f1,andrey--jodar,v19,0.3798309179
glass_identification,knn,acc,andrey--jodar,v19,0.5714285714
spambase,perceptron,f1,arthur--heiji,v19,0.8700687318
spambase,perceptron,acc,arthur--heiji,v19,0.8760869565
spambase,svm,f1,arthur--heiji,v19,0.9313801372
spambase,svm,acc,arthur--heiji,v19,0.9336956522
spambase,bayes,f1,arthur--heiji,v19,0.8313541693
spambase,bayes,acc,arthur--heiji,v19,0.8315217391
spambase,tree,f1,arthur--heiji,v19,0.9286360698
spambase,tree,acc,arthur--heiji,v19,0.9315217391
spambase,knn,f1,arthur--heiji,v19,0.9017999659
spambase,knn,acc,arthur--heiji,v19,0.9054347826
winequality-red,perceptron,acc,arthur-hydeki,v19,0.7376645929
winequality-red,perceptron,f1,arthur-hydeki,v19,0.7432290969
winequality-red,svm,acc,arthur-hydeki,v19,0.8801557859
winequality-red,svm,f1,arthur-hydeki,v19,0.887423496
winequality-red,bayes,acc,arthur-hydeki,v19,0.8861993173
winequality-red,bayes,f1,arthur-hydeki,v19,0.8872795138
winequality-red,knn,acc,arthur-hydeki,v19,0.8722829325
winequality-red,knn,f1,arthur-hydeki,v19,0.850929014
winequality-red,tree,acc,arthur-hydeki,v19,0.7250069436
winequality-red,tree,f1,arthur-hydeki,v19,0.7543911388
insurance,perceptron,acc,arthur-protazio,v19,0.8619402985
insurance,perceptron,f1,arthur-protazio,v19,0.8598716853
insurance,tree,acc,arthur-protazio,v19,0.828358209
insurance,tree,f1,arthur-protazio,v19,0.8285185031
insurance,tree,acc,arthur-protazio,v19,0.8992537313
insurance,tree,f1,arthur-protazio,v19,0.8990041592
insurance,knn,acc,arthur-protazio,v19,0.8507462687
insurance,knn,f1,arthur-protazio,v19,0.8489529547
insurance,svm,acc,arthur-protazio,v19,0.8955223881
insurance,svm,f1,arthur-protazio,v19,0.8945699228
column_2C.csv,perceptron,f1,eduardo-barbeiro,v19,0.6978121757
column_2C.csv,perceptron,acc,eduardo-barbeiro,v19,0.7903225806
column_2C.csv,svm,f1,eduardo-barbeiro,v19,0.4891351586
column_2C.csv,svm,acc,eduardo-barbeiro,v19,0.6612903226
column_2C.csv,bayes,f1,eduardo-barbeiro,v19,0.8424691358
column_2C.csv,bayes,acc,eduardo-barbeiro,v19,0.8709677419
column_2C.csv,tree,f1,eduardo-barbeiro,v19,0.7160453925
column_2C.csv,tree,acc,eduardo-barbeiro,v19,0.7741935484
column_2C.csv,knn,f1,eduardo-barbeiro,v19,0.7281144781
column_2C.csv,knn,acc,eduardo-barbeiro,v19,0.7741935484
Automobile,perceptron,f1,eduardo-cavazin,v19,0.4331349206
Automobile,perceptron,acc,eduardo-cavazin,v19,0.5161290323
Automobile,svm,f1,eduardo-cavazin,v19,0.1314655172
Automobile,svm,acc,eduardo-cavazin,v19,0.2903225806
Automobile,bayes,f1,eduardo-cavazin,v19,0.3309283309
Automobile,bayes,acc,eduardo-cavazin,v19,0.4516129032
Automobile,tree,f1,eduardo-cavazin,v19,0.5416971917
Automobile,tree,acc,eduardo-cavazin,v19,0.6451612903
Automobile,knn,f1,eduardo-cavazin,v19,0.5167378917
Automobile,knn,acc,eduardo-cavazin,v19,0.6129032258
accelerator-mobile,perceptron,f1,gregory--soares,v19,0.496
accelerator-mobile,perceptron,acc,gregory--soares,v19,0.984
accelerator-mobile,svm,f1,gregory--soares,v19,0.827
accelerator-mobile,svm,acc,gregory--soares,v19,0.989
accelerator-mobile,bayes,f1,gregory--soares,v19,0.497
accelerator-mobile,bayes,acc,gregory--soares,v19,0.984
accelerator-mobile,tree,f1,gregory--soares,v19,0.934
accelerator-mobile,tree,acc,gregory--soares,v19,0.996
accelerator-mobile,knn,f1,gregory--soares,v19,0.804
accelerator-mobile,knn,acc,gregory--soares,v19,0.989
iris,perceptron,acc,gustavo--cruz-v2,v19,0.0666666667
iris,perceptron,f1,gustavo--cruz-v2,v19,0.0416666667
iris,svm,acc,gustavo--cruz-v2,v19,0.9666666667
iris,svm,f1,gustavo--cruz-v2,v19,0.9647473561
iris,bayes,acc,gustavo--cruz-v2,v19,0.9
iris,bayes,f1,gustavo--cruz-v2,v19,0.4736842105
iris,tree,acc,gustavo--cruz-v2,v19,1.0
iris,tree,f1,gustavo--cruz-v2,v19,1.0
iris,knn,acc,gustavo--cruz-v2,v19,1.0
iris,knn,f1,gustavo--cruz-v2,v19,1.0
garments-workers,perceptron,acc,isaque--cruz,v19,0.7556561086
garments-workers,perceptron,f1,isaque--cruz,v19,0.643388615
garments-workers,svm,acc,isaque--cruz,v19,0.742081448
garments-workers,svm,f1,isaque--cruz,v19,0.4425366199
garments-workers,bayes,acc,isaque--cruz,v19,0.778280543
garments-workers,bayes,f1,isaque--cruz,v19,0.6223803048
garments-workers,tree,acc,isaque--cruz,v19,0.7963800905
garments-workers,tree,f1,isaque--cruz,v19,0.7276834611
garments-workers,knn,acc,isaque--cruz,v19,0.7895927602
garments-workers,knn,f1,isaque--cruz,v19,0.7005747252
wine,perceptron,acc,larissa-v2,v19,0.9714285714
wine,perceptron,f1,larissa-v2,v19,0.9731615674
wine,svm,acc,larissa-v2,v19,1.0
wine,svm,f1,larissa-v2,v19,1.0
wine,bayes,acc,larissa-v2,v19,1.0
wine,bayes,f1,larissa-v2,v19,1.0
wine,knn,acc,larissa-v2,v19,0.9428571429
wine,knn,f1,larissa-v2,v19,0.9439932049
wine,tree,acc,larissa-v2,v19,0.8571428571
wine,tree,f1,larissa-v2,v19,0.86
tic-tac-toe,perceptron,f1,leandro-menoni,v19,0.51
tic-tac-toe,perceptron,acc,leandro-menoni,v19,0.66
tic-tac-toe,svm,f1,leandro-menoni,v19,0.46
tic-tac-toe,svm,acc,leandro-menoni,v19,0.67
tic-tac-toe,bayes,f1,leandro-menoni,v19,0.59
tic-tac-toe,bayes,acc,leandro-menoni,v19,0.72
tic-tac-toe,tree,f1,leandro-menoni,v19,0.8
tic-tac-toe,tree,acc,leandro-menoni,v19,0.82
tic-tac-toe,knn,f1,leandro-menoni,v19,0.8
tic-tac-toe,knn,acc,leandro-menoni,v19,0.83
wine-white,tree,acc,lucas-v2,v19,0.7395301328
wine-white,tree,f1,lucas-v2,v19,0.7166849948
wine-white,knn,acc,lucas-v2,v19,0.7589376915
wine-white,knn,f1,lucas-v2,v19,0.7282474712
wine-white,bayes,acc,lucas-v2,v19,0.7037793667
wine-white,bayes,f1,lucas-v2,v19,0.6767696778
wine-white,perceptron,acc,lucas-v2,v19,0.671092952
wine-white,perceptron,f1,lucas-v2,v19,0.4922722587
wine-white,svm,acc,lucas-v2,v19,0.7170582227
wine-white,svm,f1,lucas-v2,v19,0.6304225467
data.csv,perceptron,acc,luiz-miguel-silva,v19,0.7025
data.csv,perceptron,f1,luiz-miguel-silva,v19,0.6136902599
data.csv,svm,acc,luiz-miguel-silva,v19,0.705
data.csv,svm,f1,luiz-miguel-silva,v19,0.5816328241
data.csv,bayes,acc,luiz-miguel-silva,v19,0.67
data.csv,bayes,f1,luiz-miguel-silva,v19,0.5863101789
data.csv,knn,acc,luiz-miguel-silva,v19,0.6625
data.csv,knn,f1,luiz-miguel-silva,v19,0.5569435068
data.csv,tree,acc,luiz-miguel-silva,v19,0.635
data.csv,tree,f1,luiz-miguel-silva,v19,0.575434205
breast-cancer-wisconsin.csv,perceptron,acc,mateus--raskoski,v19,0.9857142857
breast-cancer-wisconsin.csv,perceptron,f1,mateus--raskoski,v19,0.9857815654
breast-cancer-wisconsin.csv,svm,acc,mateus--raskoski,v19,0.9857142857
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v19,0.9857815654
breast-cancer-wisconsin.csv,bayes,acc,mateus--raskoski,v19,0.9785714286
breast-cancer-wisconsin.csv,bayes,f1,mateus--raskoski,v19,0.9787185191
breast-cancer-wisconsin.csv,knn,acc,mateus--raskoski,v19,0.9785714286
breast-cancer-wisconsin.csv,knn,f1,mateus--raskoski,v19,0.9786233371
breast-cancer-wisconsin.csv,tree,acc,mateus--raskoski,v19,0.9357142857
breast-cancer-wisconsin.csv,tree,f1,mateus--raskoski,v19,0.9358700113
iris,perceptron,acc,pablo-v2,v19,0.8
iris,perceptron,f1,pablo-v2,v19,0.7927790491
iris,svm,acc,pablo-v2,v19,0.9666666667
iris,svm,f1,pablo-v2,v19,0.9665831245
iris,bayes,acc,pablo-v2,v19,0.9666666667
iris,bayes,f1,pablo-v2,v19,0.9665831245
iris,knn,acc,pablo-v2,v19,1.0
iris,knn,f1,pablo-v2,v19,1.0
iris,tree,acc,pablo-v2,v19,0.9666666667
iris,tree,f1,pablo-v2,v19,0.9665831245
bank,perceptron,acc,rafael-leonardo,v19,0.701442205
bank,perceptron,f1,rafael-leonardo,v19,0.7939093712
bank,svm,acc,rafael-leonardo,v19,0.7383601008
bank,svm,f1,rafael-leonardo,v19,0.557482057
bank,bayes,acc,rafael-leonardo,v19,0.7172576472
bank,bayes,f1,rafael-leonardo,v19,0.6411967877
bank,knn,acc,rafael-leonardo,v19,0.6213599369
bank,knn,f1,rafael-leonardo,v19,0.7603188477
bank,tree,acc,rafael-leonardo,v19,0.7581780317
bank,tree,f1,rafael-leonardo,v19,0.7581785229
Rice,perceptron,acc,rafael-scarpelli,v19,0.9
Rice,perceptron,f1,rafael-scarpelli,v19,0.8950004244
Rice,svm,acc,rafael-scarpelli,v19,0.9666666667
Rice,svm,f1,rafael-scarpelli,v19,0.9665831245
Rice,bayes,acc,rafael-scarpelli,v19,1.0
Rice,bayes,f1,rafael-scarpelli,v19,1.0
Rice,knn,acc,rafael-scarpelli,v19,0.9666666667
Rice,knn,f1,rafael-scarpelli,v19,0.9665831245
Rice,tree,acc,rafael-scarpelli,v19,0.9666666667
Rice,tree,f1,rafael-scarpelli,v19,0.9665831245
Mushroom,perceptron,f1,renato-augusto-v2,v19,0.9722960993
Mushroom,perceptron,acc,renato-augusto-v2,v19,0.9722960993
Mushroom,svm,f1,renato-augusto-v2,v19,0.9689716312
Mushroom,svm,acc,renato-augusto-v2,v19,0.9689716312
Mushroom,bayes,f1,renato-augusto-v2,v19,0.6586879433
Mushroom,bayes,acc,renato-augusto-v2,v19,0.6586879433
Mushroom,tree,f1,renato-augusto-v2,v19,1.0
Mushroom,tree,acc,renato-augusto-v2,v19,1.0
Mushroom,knn,f1,renato-augusto-v2,v19,1.0
Mushroom,knn,acc,renato-augusto-v2,v19,1.0
car.csv,perceptron,f1,romulo-jordao,v19,0.462296127
car.csv,perceptron,acc,romulo-jordao,v19,0.8579710145
car.csv,svm,f1,romulo-jordao,v19,0.9336560002
car.csv,svm,acc,romulo-jordao,v19,0.9710144928
car.csv,bayes,f1,romulo-jordao,v19,0.7778633005
car.csv,bayes,acc,romulo-jordao,v19,0.8492753623
car.csv,knn,f1,romulo-jordao,v19,0.4747127591
car.csv,knn,acc,romulo-jordao,v19,0.8289855072
car.csv,tree,f1,romulo-jordao,v19,0.9563221538
car.csv,tree,acc,romulo-jordao,v19,0.9768115942
mushroom,perceptron,acc,thalles--barros,v19,0.7604679803
mushroom,perceptron,f1,thalles--barros,v19,0.6370516044
mushroom,svm,acc,thalles--barros,v19,0.9322660099
mushroom,svm,f1,thalles--barros,v19,0.895883845
mushroom,bayes,acc,thalles--barros,v19,0.7789408867
mushroom,bayes,f1,thalles--barros,v19,0.6873464594
mushroom,tree,acc,thalles--barros,v19,0.9938423645
mushroom,tree,f1,thalles--barros,v19,0.9890874296
mushroom,knn,acc,thalles--barros,v19,0.9033251232
mushroom,knn,f1,thalles--barros,v19,0.8586500662
dataset_name,classifier_name,metric,vitor--garcia,v19,
agaricus-lepiota,perceptron,f1,vitor--garcia,v19,0.9485874028
agaricus-lepiota,perceptron,acc,vitor--garcia,v19,0.9521276596
agaricus-lepiota,svm,f1,vitor--garcia,v19,1.0
agaricus-lepiota,svm,acc,vitor--garcia,v19,1.0
agaricus-lepiota,bayes,f1,vitor--garcia,v19,0.587035914
agaricus-lepiota,bayes,acc,vitor--garcia,v19,0.7109929078
agaricus-lepiota,tree,f1,vitor--garcia,v19,1.0
agaricus-lepiota,tree,acc,vitor--garcia,v19,1.0
agaricus-lepiota,knn,f1,vitor--garcia,v19,0.9990395218
agaricus-lepiota,knn,acc,vitor--garcia,v19,0.9991134752
Car Evaluation,perceptron,acc,vitor-oliveira,v19,0.7687861272
Car Evaluation,perceptron,f1,vitor-oliveira,v19,0.375
Car Evaluation,svm,acc,vitor-oliveira,v19,0.8728323699
Car Evaluation,svm,f1,vitor-oliveira,v19,0.7924528302
Car Evaluation,bayes,acc,vitor-oliveira,v19,0.8179190751
Car Evaluation,bayes,f1,vitor-oliveira,v19,0.7435897436
Car Evaluation,tree,acc,vitor-oliveira,v19,0.9682080925
Car Evaluation,tree,f1,vitor-oliveira,v19,0.9759036145
Car Evaluation,knn,acc,vitor-oliveira,v19,0.9132947977
Car Evaluation,knn,f1,vitor-oliveira,v19,0.858974359
bank,perceptron,f1,ana--beatriz,v20,0.544979606
bank,perceptron,acc,ana--beatriz,v20,0.8716814159
bank,svm,f1,ana--beatriz,v20,0.4650887574
bank,svm,acc,ana--beatriz,v20,0.8694690265
bank,bayes,f1,ana--beatriz,v20,0.6196462954
bank,bayes,acc,ana--beatriz,v20,0.8329646018
bank,tree,f1,ana--beatriz,v20,0.6836419518
bank,tree,acc,ana--beatriz,v20,0.8727876106
bank,knn,f1,ana--beatriz,v20,0.5171091909
bank,knn,acc,ana--beatriz,v20,0.8683628319
glass_identification,perceptron,f1,andrey--jodar,v20,0.2425925926
glass_identification,perceptron,acc,andrey--jodar,v20,0.4047619048
glass_identification,svm,f1,andrey--jodar,v20,0.1940035273
glass_identification,svm,acc,andrey--jodar,v20,0.4285714286
glass_identification,bayes,f1,andrey--jodar,v20,0.3925834023
glass_identification,bayes,acc,andrey--jodar,v20,0.2619047619
glass_identification,tree,f1,andrey--jodar,v20,0.4086062596
glass_identification,tree,acc,andrey--jodar,v20,0.4523809524
glass_identification,knn,f1,andrey--jodar,v20,0.3298611111
glass_identification,knn,acc,andrey--jodar,v20,0.5476190476
spambase,perceptron,f1,arthur--heiji,v20,0.8993682579
spambase,perceptron,acc,arthur--heiji,v20,0.904451683
spambase,svm,f1,arthur--heiji,v20,0.9283279278
spambase,svm,acc,arthur--heiji,v20,0.9326818675
spambase,bayes,f1,arthur--heiji,v20,0.7973745967
spambase,bayes,acc,arthur--heiji,v20,0.7980456026
spambase,tree,f1,arthur--heiji,v20,0.9325655711
spambase,tree,acc,arthur--heiji,v20,0.9359391965
spambase,knn,f1,arthur--heiji,v20,0.8992545336
spambase,knn,acc,arthur--heiji,v20,0.9055374593
winequality-red,perceptron,acc,arthur-hydeki,v20,0.7273656822
winequality-red,perceptron,f1,arthur-hydeki,v20,0.7122077231
winequality-red,svm,acc,arthur-hydeki,v20,0.9136129369
winequality-red,svm,f1,arthur-hydeki,v20,0.8518803659
winequality-red,bayes,acc,arthur-hydeki,v20,0.8951129161
winequality-red,bayes,f1,arthur-hydeki,v20,0.8686204991
winequality-red,knn,acc,arthur-hydeki,v20,0.7647256917
winequality-red,knn,f1,arthur-hydeki,v20,0.8574147038
winequality-red,tree,acc,arthur-hydeki,v20,0.9148864547
winequality-red,tree,f1,arthur-hydeki,v20,0.7270113876
insurance,perceptron,acc,arthur-protazio,v20,0.8694029851
insurance,perceptron,f1,arthur-protazio,v20,0.8654922172
insurance,tree,acc,arthur-protazio,v20,0.8582089552
insurance,tree,f1,arthur-protazio,v20,0.8578468529
insurance,tree,acc,arthur-protazio,v20,0.9141791045
insurance,tree,f1,arthur-protazio,v20,0.9128498507
insurance,knn,acc,arthur-protazio,v20,0.8395522388
insurance,knn,f1,arthur-protazio,v20,0.8341196567
insurance,svm,acc,arthur-protazio,v20,0.9104477612
insurance,svm,f1,arthur-protazio,v20,0.9089203345
column_2C.csv,perceptron,f1,eduardo-barbeiro,v20,0.6516036419
column_2C.csv,perceptron,acc,eduardo-barbeiro,v20,0.7741935484
column_2C.csv,svm,f1,eduardo-barbeiro,v20,0.4944560983
column_2C.csv,svm,acc,eduardo-barbeiro,v20,0.7258064516
column_2C.csv,bayes,f1,eduardo-barbeiro,v20,0.7002489885
column_2C.csv,bayes,acc,eduardo-barbeiro,v20,0.8064516129
column_2C.csv,tree,f1,eduardo-barbeiro,v20,0.6171868463
column_2C.csv,tree,acc,eduardo-barbeiro,v20,0.7419354839
column_2C.csv,knn,f1,eduardo-barbeiro,v20,0.5618067979
column_2C.csv,knn,acc,eduardo-barbeiro,v20,0.6774193548
Automobile,perceptron,f1,eduardo-cavazin,v20,0.4353763883
Automobile,perceptron,acc,eduardo-cavazin,v20,0.5142857143
Automobile,svm,f1,eduardo-cavazin,v20,0.2307692308
Automobile,svm,acc,eduardo-cavazin,v20,0.4285714286
Automobile,bayes,f1,eduardo-cavazin,v20,0.5387362637
Automobile,bayes,acc,eduardo-cavazin,v20,0.5714285714
Automobile,tree,f1,eduardo-cavazin,v20,0.6933333333
Automobile,tree,acc,eduardo-cavazin,v20,0.6857142857
Automobile,knn,f1,eduardo-cavazin,v20,0.2808143547
Automobile,knn,acc,eduardo-cavazin,v20,0.3714285714
accelerator-mobile,perceptron,f1,gregory--soares,v20,0.495
accelerator-mobile,perceptron,acc,gregory--soares,v20,0.982
accelerator-mobile,svm,f1,gregory--soares,v20,0.816
accelerator-mobile,svm,acc,gregory--soares,v20,0.988
accelerator-mobile,bayes,f1,gregory--soares,v20,0.495
accelerator-mobile,bayes,acc,gregory--soares,v20,0.982
accelerator-mobile,tree,f1,gregory--soares,v20,0.912
accelerator-mobile,tree,acc,gregory--soares,v20,0.994
